timestamp_ms,mid_price,spread,cancel_rate,imbalance,bid_p1,bid_s1,bid_p2,bid_s2,bid_p3,bid_s3,bid_p4,bid_s4,bid_p5,bid_s5,ask_p1,ask_s1,ask_p2,ask_s2,ask_p3,ask_s3,ask_p4,ask_s4,ask_p5,ask_s5,true_label
1704067200748,99.9524,0.06,0.1279,-0.5276,99.92,82.0,99.91,8.0,99.9,54.0,99.89,23.0,99.88,60.0,99.98,105.0,99.99,513.0,100.0,30.0,100.01,48.0,100.02,38.0,none
1704067201118,99.9615,0.06,0.1733,-0.0096,99.93,11.0,99.92,28.0,99.91,130.0,99.9,113.0,99.89,28.0,99.99,90.0,100.0,52.0,100.01,35.0,100.02,69.0,100.03,70.0,none
1704067203074,99.9514,0.05,0.4618,0.442,99.93,1013.0,99.92,28.0,99.91,40.0,99.9,73.0,99.89,27.0,99.98,28.0,99.99,56.0,100.0,28.0,100.01,145.0,100.02,200.0,spoofing
1704067204948,99.9692,0.02,0.0754,-0.1002,99.96,89.0,99.95,12.0,99.94,156.0,99.93,161.0,99.92,13.0,99.98,34.0,99.99,245.0,100.0,117.0,100.01,79.0,100.02,52.0,none
1704067206002,99.9396,0.06,0.1404,-0.0875,99.91,31.0,99.9,29.0,99.89,11.0,99.88,247.0,99.87,26.0,99.97,53.0,99.98,50.0,99.99,122.0,100.0,82.0,100.01,103.0,none
1704067207313,99.9495,0.02,0.1,0.1892,99.94,193.0,99.93,11.0,99.92,114.0,99.91,17.0,99.9,61.0,99.96,67.0,99.97,26.0,99.98,56.0,99.99,59.0,100.0,62.0,none
1704067207789,99.9229,0.05,0.0779,-0.0538,99.9,57.0,99.89,99.0,99.88,45.0,99.87,75.0,99.86,67.0,99.95,34.0,99.96,28.0,99.97,73.0,99.98,133.0,99.99,114.0,none
1704067209726,99.9564,0.07,0.1197,-0.5915,99.92,45.0,99.91,105.0,99.9,13.0,99.89,9.0,99.88,10.0,99.99,171.0,100.0,89.0,100.01,90.0,100.02,296.0,100.03,63.0,none
1704067211132,99.9863,0.03,0.1317,-0.2005,99.97,100.0,99.96,38.0,99.95,29.0,99.94,110.0,99.93,44.0,100.0,30.0,100.01,78.0,100.02,98.0,100.03,94.0,100.04,182.0,none
1704067211864,100.0215,0.03,0.1056,0.0127,100.01,133.0,100.0,24.0,99.99,66.0,99.98,220.0,99.97,75.0,100.04,33.0,100.05,61.0,100.06,229.0,100.07,104.0,100.08,78.0,none
1704067212891,100.006,0.02,0.0844,-0.1774,100.0,59.0,99.99,26.0,99.98,106.0,99.97,134.0,99.96,53.0,100.02,25.0,100.03,42.0,100.04,132.0,100.05,140.0,100.06,202.0,none
1704067214376,99.985,0.07,0.0835,0.0815,99.95,96.0,99.94,52.0,99.93,111.0,99.92,34.0,99.91,32.0,100.02,22.0,100.03,60.0,100.04,108.0,100.05,59.0,100.06,27.0,none
1704067216343,99.9919,0.04,0.0767,0.075,99.97,131.0,99.96,25.0,99.95,42.0,99.94,68.0,99.93,78.0,100.01,89.0,100.02,43.0,100.03,44.0,100.04,77.0,100.05,43.0,none
1704067218167,99.9414,0.05,0.0696,-0.1612,99.92,82.0,99.91,46.0,99.9,27.0,99.89,37.0,99.88,11.0,99.97,18.0,99.98,62.0,99.99,22.0,100.0,70.0,100.01,109.0,none
1704067219558,99.9249,0.02,0.0353,0.1144,99.91,49.0,99.9,63.0,99.89,73.0,99.88,43.0,99.87,113.0,99.93,60.0,99.94,49.0,99.95,52.0,99.96,32.0,99.97,78.0,none
1704067219900,99.9102,0.04,0.1066,0.3728,99.89,8.0,99.88,82.0,99.87,37.0,99.86,212.0,99.85,9.0,99.93,24.0,99.94,54.0,99.95,31.0,99.96,19.0,99.97,31.0,none
1704067220441,99.9145,0.07,0.209,-0.2968,99.88,56.0,99.87,30.0,99.86,123.0,99.85,91.0,99.84,59.0,99.95,49.0,99.96,51.0,99.97,148.0,99.98,251.0,99.99,163.0,none
1704067220706,99.9177,0.04,0.0874,-0.245,99.9,9.0,99.89,40.0,99.88,74.0,99.87,54.0,99.86,48.0,99.94,31.0,99.95,189.0,99.96,25.0,99.97,53.0,99.98,73.0,none
1704067220917,99.9429,0.05,0.0703,0.4694,99.92,187.0,99.91,132.0,99.9,164.0,99.89,30.0,99.88,27.0,99.97,24.0,99.98,84.0,99.99,26.0,100.0,9.0,100.01,52.0,none
1704067222904,99.9905,0.04,0.1707,0.0045,99.97,55.0,99.96,78.0,99.95,15.0,99.94,38.0,99.93,36.0,100.01,15.0,100.02,48.0,100.03,43.0,100.04,23.0,100.05,91.0,none
1704067223815,100.0039,0.02,0.1895,0.0541,99.99,16.0,99.98,82.0,99.97,55.0,99.96,45.0,99.95,65.0,100.01,39.0,100.02,10.0,100.03,57.0,100.04,46.0,100.05,84.0,wash_trading
1704067224746,99.9191,0.02,0.3551,0.3038,99.91,2102.0,99.9,117.0,99.89,117.0,99.88,69.0,99.87,37.0,99.93,139.0,99.94,918.0,99.95,106.0,99.96,130.0,99.97,11.0,spoofing
1704067225237,99.9268,0.05,0.076,0.5725,99.9,23.0,99.89,59.0,99.88,662.0,99.87,17.0,99.86,41.0,99.95,88.0,99.96,47.0,99.97,39.0,99.98,6.0,99.99,38.0,none
1704067226161,99.9297,0.06,0.0731,-0.1758,99.9,96.0,99.89,38.0,99.88,44.0,99.87,98.0,99.86,71.0,99.96,46.0,99.97,243.0,99.98,165.0,99.99,20.0,100.0,21.0,wash_trading
1704067228136,99.8934,0.06,0.0368,0.1162,99.86,102.0,99.85,192.0,99.84,152.0,99.83,34.0,99.82,178.0,99.92,70.0,99.93,99.0,99.94,292.0,99.95,29.0,99.96,31.0,none
1704067228979,99.8739,0.03,0.2818,0.7527,99.86,1835.0,99.85,42.0,99.84,42.0,99.83,43.0,99.82,51.0,99.89,43.0,99.9,21.0,99.91,28.0,99.92,104.0,99.93,88.0,spoofing
